disease,action
Psoriasis,"Maintain a healthy lifestyle, take daily baths, keep your skin moist, avoid scratching, psoriasis triggers and exposing your skin to sunlights. Work closely with your dermatologist to find the right treatment plan and follow the prescribed treatment plan dilligently."
Varicose Veins,"You can ease the pain by exercising, raising your legs when sitting or lying down, or wearing compression stockings. If self-care steps don't work, consider seeking professional help."
Typhoid,"You can refer to the pharmacy to get prescribed antibiotics such as Fluoroquinolones (ciprofloxacin), Cephalosporins, Macrolides and Carbapenems. Drinking more fluids helps prevent dehydration caused by a long fever and diarrhea."
Chicken pox,"Avoid scratching the skin as it may cause scarring and infection. You can apply calamine lotion on itchy spots, antihistamines such as diphenhyramine to calm itching and acetaminophen for a mild fever."
Impetigo,"If the infections are minor and haven't spread to other areas, you can try treating the sores with an antibiotic cream or ointment, place a nonstick bandage over the area to prevent the sores from spreading. For major infections, you can visit the pharmacy for prescription mupirocin antibiotic ointment or cream."
Dengue,Consider seeking professional help as you will need supportive care in a hospital if you have severe dengue fever. Drink plenty of fluids to avoid dehydration.
Fungal infection,"Keep the affected area clean and dry. You can apply an over-the-counter antifungal lotion, cream or ointment such as clotrimazole (Lotrimin AF) or terbinafine (Lamisil AT). If over-the-counter treatments don't work, you may need to seek professional help for prescription-strength antifungal medications."
Common Cold,"Rest more, drink plenty of liquids, humidify the air and use saline nasal rinses while recovering. You can consider getting nonprescription pain relievers such as acetaminophen (Tylenol) or ibuprofen (Advil) to relieve sore throat, headache or fever. You can use decongestant nasal sprays to relieve runny nose and cough syrups to treat symptoms of coughs and colds."
Pneumonia,"You can visit to the pharmacy for prescribed antibiotics, cough medicine and fever/pain relievers to relieve your symptoms. Consider attending to the hospital if severity increases."
Dimorphic Hemorrhoids,"Eat more foods that are high in fiber. You can apply a hemorrhoid cream or suppository containing hydrocortisone at the pharmacy without prescription. Soak the anal area in plain warm water for 10 to 15 minutes two or three times a day. While facing severe discomfort, you can temporarily use acetaminophen (Tylenol), aspirin or ibuprofen (Advil) to help relieve your discomfort."
Arthritis,Ibuprofen (Advil) and naproxen sodium (Aleve) can relieve pain and reduce inflammation. You can apply creams and ointments containing menthol or capsaicin to relieve pain. You can also take corticosteroid medications such as prednisone to reduce inflammation and pain and slow joint damage. Do exercises to improve range of motion and strengthen the muscles surrounding joints. Seek professional help if it is severe.
Acne,"Try nonprescription acne products for several weeks and if they haven't help, ask your doctor about prescription-strength medications. You can try some topical medications with retinoic acids or tretinoin such as Avita, DIfferin and Tazorac, antibiotic cream, prescription azelaic acid and salicyclic acid, as well as dapsone."
Bronchial Asthma,Work closely with your doctor to create an asthma action plan. Take long-term control medications daily as prescribed and keep quick-relief inhalers on hand to handle emergencies. Maintain a healthy lifestyle.
Hypertension,"Eat a healthy diet with less salt and get regular physical activity. Maintain a healthy weight, limit alcohol and smoking, get 7 to 9 hours of sleep daily. Visit the doctor to get prescribed medicines such as diuretics (chlorthalidone, hydrochlorothiazide), lisinopril, benazepril, losartan and amlodipine."
Migraine,"Pain-relieving medications like aspirin and acetaminophen can be obtained over-the-counter. Try to relax yourself, develop a sleeping and eating routine, drink plenty of fluids and exercise regularly to help soothe and prevent migraine pain."
Cervical spondylosis,Maintain active lifestyle to help recovery. You can buy non-prescription pain relievers such as Ibuprofen (Advil) and acetaminophen (Tylenol) to control the pain. You can also apply heat or ice to ease sore neck muscles. Seek professional help if the condition is severe.
Jaundice,Jaundice may caused by many reasons. Please visit your doctor to seek for further medical diagnosis treatment as soon as possible.
Malaria,Visit your doctor to get prescription drugs such as chloroquine and artemisinin-based combinatiion therapies (ACTs) depending on your personal condition.
urinary tract infection,"Drink plenty of water and avoid drinks that may irritate your bladder such as coffee, alcohol and soft drinks. You can apply a warm heating pad to your belly to help with bladder discomfort. Seek professional help for prescription drugs such as Trimethoprim and sulfamethoxazole (Bactrim), Fosfomycin (Monurol) and Nutrofurantoin (Macrodantin)."
allergy,"Seek professional help to identify your allergy triggers. Nonprescription or prescription medication will also be suggested to help reduce the symptoms. If you have sinus congestion and hay fever symptoms, you can use saline nasal irrigation to rinse out the sinuses with a salt and water solution. If you have household airborne allergy symptoms, reduce your exposure to dust mites."
gastroesophageal reflux disease,"Try to maintain a healthy weight, avoid foods and drinks that trigger reflux such as alcohol, chocolate, caffeine or peppermint, eat food slowly and chew thoroughly. Avoid lying down after a meal and tight-fitting clothing. Try nonprescription medicines such as antacids to neutralise stomach acid, cimetidine or famotidine to reduce acid production and lansoprazole or omeprazole to block acid production and heal the esophagus. Visit doctor for prescription medications for severe cases."
drug reaction,Seek professional help to identify the triggers. Avoid taking the drug after triggers are identified. Prescribed medications such as antihistamine may be prescribed to block immune system chemicals triggered during an allergic reaction.
peptic ulcer disease,"Control stress as it may worsen the symptoms of a peptic ulcer. Do not smoke and limit alcohol. Visit your doctor for advices on medications such as antibiotics, medications to block acid production and promote healing, antacids that neutralise stomach acid and medications that protect the lining of your stomach and small intestine."
diabetes,"Choose healthy foods that will help you control your blood sugar. Eat more fruits, vegetables, lean proteins, whole grains and stay at a healthy weight, try to increase physical activity in your daily routine. Seek professional help to monitor your blood sugar and get appropriate treatments such as insulin."